event,block,n_fire,peak_utc,SS_M2,SS_B6,M2_wins,worst_day_M2,worst_day_share_M2,worst_day_is_postpeak,postpeak_n,postpeak_bias_M2,postpeak_bias_B6,postpeak_dAE,total_dAE,rest_dAE,decided_by_postpeak
es_luesia_2026_0715,B2026,134,2026-07-15 18:00:00,0.33618491888046265,0.17830157279968262,True,2026-07-17,0.6146601317756397,False,1,-282.3938293457031,884.6049194335938,602.2110595703125,24273.6953125,23671.484252929688,False
es_mierla_la_2026_0716,B2026,138,2026-07-19 18:00:00,0.2604331970214844,0.3059089183807373,False,2026-07-19,0.3998117389097036,False,24,-12958.7578125,-11648.3798828125,-32280.94140625,-49454.171875,-17173.23046875,False
es_navaluenga_2026_0722,B2026,112,2026-07-24 15:00:00,0.060426414012908936,0.11372160911560059,False,2026-07-24,0.5731967524288809,False,24,-13318.07421875,-12160.375,-19772.5859375,-58309.23828125,-38536.65234375,False
es_niebla_2026_0807,B2026,151,2026-08-09 16:00:00,0.3244297504425049,0.3107130527496338,True,2026-08-09,0.28696025963543187,False,24,-10564.4267578125,-8492.0439453125,-48195.04296875,21978.71875,70173.76171875,False
es_nules_2026_0725,B2026,78,2026-07-26 15:00:00,0.24938666820526123,0.2200489640235901,True,2026-07-27,0.4471966190339751,True,24,-62.3712158203125,438.7753601074219,1566.0693359375,1513.317138671875,-52.752197265625,True
es_penas_de_riglos_la_2026_0810,B2026,154,2026-08-10 14:00:00,0.13122236728668213,0.23529481887817383,False,2026-08-12,0.4215106530956227,False,1,445.4947204589844,8.76311206817627,-436.7315979003906,-17794.5234375,-17357.79183959961,False
es_pinofranqueado_2026_0818,B2026,73,2026-08-19 14:00:00,0.835021510720253,0.6855197846889496,True,2026-08-20,0.3306635699411114,True,22,-8.790207862854004,97.9179458618164,2400.053955078125,2666.18408203125,266.130126953125,False
es_san_bartolome_de_l_2026_0605,B2026,85,2026-06-08 15:00:00,0.37663018703460693,0.3438946008682251,True,2026-06-08,0.7450667781553962,False,21,-326.0690002441406,-755.7555541992188,3119.38427734375,4117.53271484375,998.1484375,False
es_soba_2026_0224,B2026,77,2026-02-24 21:00:00,0.2736387252807617,0.2778605818748474,False,2026-02-26,0.7671128374394417,False,1,0.0,0.0,0.0,-25.678897857666016,-25.678897857666016,False
es_valdesamario_2026_0722,B2026,171,2026-07-22 21:00:00,0.32483285665512085,0.3091777563095093,True,2026-07-29,0.3323443284530256,False,0,,,0.0,3588.9140625,3588.9140625,False
fr_montalba_le_chatea_2026_0704,B2026,122,2026-07-05 16:00:00,0.5537659823894501,0.4906533360481262,True,2026-07-06,0.4634951722051028,True,24,-614.4353637695312,-743.344482421875,3053.11767578125,5316.60888671875,2263.4912109375,False
fr_porge_2026_0722,B2026,93,2026-07-23 20:00:00,-0.19170701503753662,0.4139830470085144,False,2026-07-24,0.759411625739803,True,15,6743.07470703125,-707.516357421875,-109673.578125,-110461.46875,-787.890625,False
fr_solaure_en_diois_2026_0703,B2026,122,2026-07-06 15:00:00,0.29723280668258667,0.41540205478668213,False,2026-07-06,0.45426785623283583,False,24,-227.9041290283203,-245.9545440673828,-613.2493896484375,-11883.4970703125,-11270.247680664062,False
gr_n37e22_2026_0731,B2026,72,2026-07-31 13:00:00,0.17705166339874268,0.18271321058273315,False,2026-08-02,0.5196444806977095,False,1,-3913.279541015625,-5870.42626953125,1957.146728515625,-626.6082153320312,-2583.7549438476562,False
hr_knin_2026_0813,B2026,150,2026-08-19 14:00:00,0.3785019516944885,0.3687511682510376,True,2026-08-19,0.42266576599374406,False,23,-1259.2763671875,-1329.787841796875,1707.6036376953125,1363.9918212890625,-343.61181640625,True
it_bivona_2026_0714,B2026,172,2026-07-22 15:00:00,0.33774030208587646,0.3251035809516907,True,2026-07-21,0.3066326366958484,False,4,31.29314422607422,13.241369247436523,-72.20710754394531,6859.57958984375,6931.786697387695,False
mk_prilep_2026_0812,B2026,98,2026-08-19 18:00:00,0.3423265814781189,0.36163389682769775,False,2026-08-19,0.4236784762306427,False,24,-176.95997619628906,-180.53497314453125,-542.4954833984375,-933.1802978515625,-390.684814453125,False
pt_cambra_e_carvalhal_2026_0702,B2026,128,2026-07-03 00:00:00,-0.04950737953186035,0.5007317364215851,False,2026-07-04,0.7655677065407953,True,21,2889.741455078125,-247.0609588623047,-45059.05859375,-41558.5703125,3500.48828125,True
pt_castedo_2026_0808,B2026,123,2026-08-17 22:00:00,0.07931804656982422,0.06684941053390503,True,2026-08-16,0.5751911272346731,False,0,,,0.0,933.385498046875,933.385498046875,False
pt_cerdeira_2026_0727,B2026,69,2026-07-28 16:00:00,-0.33199548721313477,0.108920156955719,False,2026-07-29,0.39193717002383227,True,12,114.48787689208984,1.500085473060608,-1321.6334228515625,-1282.7119140625,38.9215087890625,True
pt_vilarandelo_2026_0722,B2026,120,2026-07-30 17:00:00,0.3675217628479004,0.37707382440567017,False,2026-07-30,0.422193889739189,False,12,-497.6612243652344,-437.3092041015625,930.0650024414062,-3704.33837890625,-4634.403381347656,False
tn_n_a_2026_0714,B2026,139,2026-07-23 13:00:00,0.02501744031906128,0.05071234703063965,False,2026-07-22,0.48381619468569836,False,0,,,0.0,-6854.03125,-6854.03125,False
tr_n_a_2026_0729,B2026,65,2026-07-29 13:00:00,0.04794204235076904,-0.0017249584197998047,True,2026-07-31,0.4609670893498694,False,1,0.5559427738189697,0.4763167202472687,-0.07962605357170105,94.95853424072266,95.03816029429436,False
tr_n_a_2026_0729_b,B2026,55,2026-07-29 16:00:00,0.4305327534675598,0.4046863913536072,True,2026-07-31,0.9082338522415637,False,1,17.24599266052246,4.6404337882995605,-12.605558395385742,525.1090087890625,537.7145671844482,False
